# The session seam, regenerated from 49f5a4a by apply.py seed session; one row per law, its END register.
id	register
WL-SESSION-01	agents/workshop/session.md
WL-SESSION-02	agents/workshop/session.md
WL-SESSION-03	agents/workshop/session.md
WL-SESSION-04	agents/workshop/session.md
WL-SESSION-05	agents/workshop/session-restore.md
WL-SESSION-06	agents/workshop/session-restore.md
WL-SESSION-07	agents/workshop/session-restore.md
WL-SESSION-08	agents/workshop/session-restore.md
WL-SESSION-09	agents/workshop/session-restore.md
WL-SESSION-11	agents/workshop/session-restore.md
WL-SESSION-12	agents/workshop/session-restore.md
WL-SESSION-13	agents/workshop/session.md
WL-SESSION-14	agents/workshop/session-restore.md
WL-SESSION-15	agents/workshop/session.md
WL-SESSION-16	agents/workshop/session-restore.md
WL-SESSION-17	agents/workshop/session-restore.md
WL-SESSION-18	agents/workshop/session.md
