# The Workshop split's sheet, regenerated from 475fc96a254b7714a236374d7375f7667f61e2db by apply.py seed; one row per moved body.
file	section_line	section	scope	name	spelling	first_param	kind	destination	pointer_ids	start_line	end_line	rewrites
workshop/screen.hpp	359	// ---- THE CHROME A PANE WEARS, AND THE INTERIOR IT LEAVES --------------------------------	zengine::workshop::detail	pane_inside_at	detail::pane_inside_at	FineRect	function	workshop/screen_chrome.cpp		399	410	inline
workshop/screen.hpp	359	// ---- THE CHROME A PANE WEARS, AND THE INTERIOR IT LEAVES --------------------------------	zengine::workshop	pane_inside	pane_inside	FineRect	function	workshop/screen_chrome.cpp	WL-CHROME-01,WL-CHROME-03,WL-CHROME-04,WL-CHROME-07,WL-MAKER-05	419	432	inline
workshop/screen.hpp	359	// ---- THE CHROME A PANE WEARS, AND THE INTERIOR IT LEAVES --------------------------------	zengine::workshop	pane_interior	pane_interior	FineRect	function	workshop/screen_chrome.cpp		435	437	inline
workshop/screen.hpp	462	// ---- AUTHORED INTENT, PROJECTED ONTO THIS SCREEN -------------------------------------	zengine::workshop	pane_unit_projectable	pane_unit_projectable	SetupPane	function	workshop/screen_chrome.cpp	WL-SETUP-06	496	502	inline
workshop/screen.hpp	462	// ---- AUTHORED INTENT, PROJECTED ONTO THIS SCREEN -------------------------------------	zengine::workshop	project_pane	project_pane	int64_t	function	workshop/screen_chrome.cpp	WL-GEO-06,WL-PANE-01,WL-PANE-08,WL-PANE-11	507	541	inline
workshop/screen.hpp	462	// ---- AUTHORED INTENT, PROJECTED ONTO THIS SCREEN -------------------------------------	zengine::workshop	bounds_of	bounds_of	Panels	function	workshop/screen_chrome.cpp	WL-PANE-03,WL-PANE-07,WL-PANE-09,WL-MAKER-05	567	590	inline
workshop/screen.hpp	678	// ---- PLACEMENT SPENT ON THE POINTER: a place a maker can see is a place a hand meets ------	zengine::workshop	canvas_point_of	canvas_point_of	int64_t	function	workshop/screen_chrome.cpp		704	716	inline
workshop/screen.hpp	678	// ---- PLACEMENT SPENT ON THE POINTER: a place a maker can see is a place a hand meets ------	zengine::workshop	occupied_at	occupied_at	Panels	function	workshop/screen_chrome.cpp	WL-FRONT-02,WL-FRONT-05,WL-PRESS-04,WL-PRESS-05,WL-FOCUS-03,WL-PANE-05,WL-TAB-09	738	760	inline
workshop/screen.hpp	678	// ---- PLACEMENT SPENT ON THE POINTER: a place a maker can see is a place a hand meets ------	zengine::workshop	occupied_at	occupied_at	Panels	function	workshop/screen_chrome.cpp	WL-FRONT-02,WL-FRONT-05,WL-PRESS-04,WL-PRESS-05,WL-FOCUS-03,WL-PANE-05,WL-TAB-09	770	777	inline
workshop/screen.hpp	830	// ---- PANE MANAGEMENT: what a maker is ARRANGING, and how ------------------------------	zengine::workshop	pane_edge_cell	pane_edge_cell	FineRect	function	workshop/screen_arrange.cpp	WL-ARR-09	890	909	inline
